580.000	-21.681
585.000	-21.646
590.000	-21.560
595.000	-21.349
600.000	-21.049
605.000	-20.692
610.000	-20.266
615.000	-19.690
620.000	-18.998
625.000	-18.179
630.000	-17.135
635.000	-15.825
640.000	-14.284
645.000	-12.345
650.000	-9.899
655.000	-6.976
660.000	-4.790
665.000	-6.221
670.000	-9.281
675.000	-11.992
680.000	-14.187
685.000	-15.906
690.000	-17.424
695.000	-18.560
700.000	-19.629
705.000	-20.387
710.000	-21.168
715.000	-21.690
720.000	-22.216
725.000	-22.572
730.000	-22.928
735.000	-23.105
740.000	-23.225
745.000	-23.291
750.000	-23.309
755.000	-23.246
